Discipline,Message,Label
Communication,We could approach it using this formula instead.,Contributing
Communication,Sure.,Neutral
Communication,That’s clear now after your explanation.,Attentive
Communication,"That makes sense now, thanks for explaining.",Attentive
Communication,"Okay, I understand this section.",Attentive
Communication,Sure.,Neutral
Communication,"Good point, I can build on that.",Collaborating
Communication,"I wasn't listening, can you repeat that?",Non-Attentive
Communication,I think this ties into the concept of operant conditioning.,Contributing
Communication,"Wait, what are we talking about?",Non-Attentive
Communication,"That makes sense now, thanks for explaining.",Attentive
Communication,"I missed that, what did you say?",Non-Attentive
Communication,That’s fine.,Neutral
Communication,That’s fine.,Neutral
Communication,Sounds good.,Neutral
Communication,Okay.,Neutral
Communication,"Sorry, I zoned out.",Non-Attentive
Communication,"Okay, I understand this section.",Attentive
Communication,I agree with you—let’s put our points together.,Collaborating
Communication,"That makes sense now, thanks for explaining.",Attentive
Communication,"Good point, I can build on that.",Collaborating
Communication,I see how that connects to last week's topic.,Attentive
Communication,Want to compare notes after class?,Collaborating
Communication,I think this ties into the concept of operant conditioning.,Contributing
Communication,Want to compare notes after class?,Collaborating
Engineering,Want to compare notes after class?,Collaborating
Engineering,"Based on my reading, this seems like a structural issue.",Contributing
Engineering,We could approach it using this formula instead.,Contributing
Engineering,"Sorry, I zoned out.",Non-Attentive
Engineering,"I missed that, what did you say?",Non-Attentive
Engineering,I see how that connects to last week's topic.,Attentive
Engineering,I’m following along with this part.,Attentive
Engineering,Okay.,Neutral
Engineering,Let's divide the work evenly. I’ll take the first part.,Collaborating
Engineering,"Based on my reading, this seems like a structural issue.",Contributing
Engineering,"Good point, I can build on that.",Collaborating
Engineering,"Sorry, I zoned out.",Non-Attentive
Engineering,We could approach it using this formula instead.,Contributing
Engineering,I’m following along with this part.,Attentive
Engineering,"Wait, what are we talking about?",Non-Attentive
Engineering,"Sorry, I zoned out.",Non-Attentive
Engineering,"Okay, I understand this section.",Attentive
Engineering,Let's divide the work evenly. I’ll take the first part.,Collaborating
Engineering,"Wait, what are we talking about?",Non-Attentive
Engineering,Sure.,Neutral
Engineering,Want to compare notes after class?,Collaborating
Engineering,"Wait, what are we talking about?",Non-Attentive
